_id,quote,tags[0],tags[1],tags[2],tags[3],tags[4],tags[5],tags[6],tags[7],author
653abc8c96d36f43860f11a6,“Some people never go crazy. What truly horrible lives they must lead.”,humor,,,,,,,,653a93a4e5b0e0926c9df96d
653abc8c96d36f43860f11a7,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",humor,open-mind,thinking,,,,,,653a93a4e5b0e0926c9df96e
653abc8c96d36f43860f11a8,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",humor,philosophy,,,,,,,653a93a4e5b0e0926c9df951
653abc8c96d36f43860f11a9,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",authors,books,literature,reading,writing,,,,653a93a4e5b0e0926c9df971
653abc8c96d36f43860f11aa,“The reason I talk to myself is because I’m the only one whose answers I accept.”,humor,insanity,lies,lying,self-indulgence,truth,,,653a93a4e5b0e0926c9df970
653abc8c96d36f43860f11ab,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace,653a93a4e5b0e0926c9df972
653abc8c96d36f43860f11ac,“I am free of all prejudice. I hate everyone equally. ”,humor,sinister,,,,,,,653a93a4e5b0e0926c9df973
653abc8c96d36f43860f11ad,“The question isn't who is going to let me; it's who is going to stop me.”,,,,,,,,,653a93a4e5b0e0926c9df974
653abc8c96d36f43860f11ae,“′Classic′ - a book which people praise and don't read.”,books,classic,reading,,,,,,653a93a4e5b0e0926c9df957
653abc8c96d36f43860f11af,“Anyone who has never made a mistake has never tried anything new.”,mistakes,,,,,,,,653a93a4e5b0e0926c9df94d
653abc8c96d36f43860f11b0,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",humor,love,romantic,women,,,,,653a93a4e5b0e0926c9df94c
653abc8c96d36f43860f11b1,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",integrity,,,,,,,,653a93a4e5b0e0926c9df94a
653abc8c96d36f43860f11b2,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",books,library,reading,,,,,,653a93a4e5b0e0926c9df94c
653abc8c96d36f43860f11b3,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",elizabeth-bennet,jane-austen,,,,,,,653a93a4e5b0e0926c9df94c
653abc8c96d36f43860f11b4,“Some day you will be old enough to start reading fairy tales again.”,age,fairytales,growing-up,,,,,,653a93a4e5b0e0926c9df962
653abc8c96d36f43860f11b5,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,god,,,,,,,,653a93a4e5b0e0926c9df962
653abc8c96d36f43860f11b6,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,death,life,,,,,,,653a93a4e5b0e0926c9df957
653abc8c96d36f43860f11b7,“A lie can travel half way around the world while the truth is putting on its shoes.”,misattributed-mark-twain,truth,,,,,,,653a93a4e5b0e0926c9df957
653abc8c96d36f43860f11b8,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",christianity,faith,religion,sun,,,,,653a93a4e5b0e0926c9df962
653abc8c96d36f43860f11b9,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",truth,,,,,,,,653a93a4e5b0e0926c9df94a
653abc8c96d36f43860f11ba,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",death,life,,,,,,,653a93a4e5b0e0926c9df975
653abc8c96d36f43860f11bb,“To die will be an awfully big adventure.”,adventure,love,,,,,,,653a93a4e5b0e0926c9df979
653abc8c96d36f43860f11bc,“It takes courage to grow up and become who you really are.”,courage,,,,,,,,653a93a4e5b0e0926c9df976
653abc8c96d36f43860f11bd,“But better to get hurt by the truth than comforted with a lie.”,life,,,,,,,,653a93a4e5b0e0926c9df978
653abc8c96d36f43860f11be,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,better-life-empathy,,,,,,,,653a93a4e5b0e0926c9df977
653abc8c96d36f43860f11bf,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",books,children,difficult,grown-ups,write,writers,writing,,653a93a4e5b0e0926c9df97a
653abc8c96d36f43860f11c0,“Never tell the truth to people who are not worthy of it.”,truth,,,,,,,,653a93a4e5b0e0926c9df957
653abc8c96d36f43860f11c1,"“A person's a person, no matter how small.”",inspirational,,,,,,,,653a93a4e5b0e0926c9df951
653abc8c96d36f43860f11c2,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",books,mind,,,,,,,653a93a4e5b0e0926c9df961
